id,audit_modifiedBy,audit_modifiedDate,deprecato,info_idEsterno,info_idIstanzaAttivitaMassiva,info_data,audit_createdBy,audit_createdDate,info_origineInformazione,beneficiarioEstensioneBenefici,classeBenePegno,classeGaranzia,codiceIdentificativoGaranziaConsortile,codiceOriginario,concessioneEstensioneBenefici,consolidabile,consolidata,controgaranzia,coperturaGaranzia,corrispondeAllaDataCerta,dataAcquisizione,dataAtto,dataConsolidamento,dataEscussione,dataEstinzione,dataIscrizione,dataRinnovo,dataRinuncia,dataScadenza,garanziaRealeSuccessiva,numeroAtto,percentualeControgaranzia,percentualeGaranzia,periodoConsolidamento,prestataInViaSolidale,registroGenerale,registroParticolare,statoGaranzia,titolaritaBeniIpotecati,valoreAlDefault,valoreEscusso,valoreMassimoGarantito,valoreNominale,valorePrestito,valoreRivalutato,version,infoEntita_id,naturaAtto_id,posizione_id,sottotipoGaranzia_id,tipoGaranzia_id,elementoOrganizzativoConservatoria_id,contestata,escussa,prevedeSegnalazioneBI,rinnovata,valoreNominalePoziori,valoreResiduoPoziori,controgaranziaPropria,dataDeliberaControgarante,dataLiberazione,importoAccantonato,importoNonAccantonato,liberata,nomeCompletoConsorzioGaranzia,nonRinnovabile,valoreResiduo,causaleNonRinnovabilita_id,tipoEstinzioneGaranzia_id,codiceIdentificativoCaveau,codiceRiferimentoSottosistema1,codiceRiferimentoSottosistema2,codiceRiferimentoSottosistema3,codiceRiferimentoSottosistema4,codiceRiferimentoSottosistema5,dataContestazione,fondiario,materialita,numeroGaranzia,numeroPreAtto,raccolta,repertorio,solvibilita,elementoOrganizzativoFilialeOrigine_id,statoGaranziaEsteso_id,attoMutuo_id,ipotecaFrazionata,percAssetNonFinanziato,valoreAssetAGaranzia,descrizioneLineaGarantita,codiceIdentificativoControgaranzia,contattoCreditoreOriginario_id,valoreGarantito
1,-1,06:57.3,,2703_1,,,-1,06:57.3,1,,,1,,392726,,,,,0,,00:00.0,,,,,,,,,0,,,,0,1,,,1,0,,0,,0,,,1,"1,481,635",,"681,335",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-1,06:57.3,,23611_1,,,-1,06:57.3,1,,,2,,,0,1,0,,0,,00:00.0,00:00.0,00:00.0,,,,,,,,12871,,,1,,,1731,1,2,,,,"20,000","10,008.94",,1,,,"757,650",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-1,06:57.3,,23612_1,,,-1,06:57.3,1,,,2,,,0,1,0,,0,,00:00.0,,00:00.0,,,,,,,,,,,1,,,,1,2,,,,"20,000","10,008.94",,1,,,"757,651",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-1,06:57.3,,26420_1,,,-1,06:57.3,1,,,2,,,0,1,0,,0,,00:00.0,,00:00.0,,,,00:00.0,,,,,,,1,,,,1,1,,,,"72,303.97","36,158.98",,1,,,"486,807",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-1,06:57.3,,28014_1,,,-1,06:57.3,1,,,2,,,0,1,0,,0,,00:00.0,00:00.0,00:00.0,,,,00:00.0,,,,68462,,,1,,,14191,1,1,,,,"22,450","11,221.01",,1,,,"537,701",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-1,06:57.3,,33544_1,,,-1,06:57.3,1,,,2,,,0,1,0,,0,,00:00.0,00:00.0,00:00.0,,,,,,,,6702,,,2,,,1208,1,1,,,,"20,000","10,201.72",,1,,,"761,062",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-1,06:57.3,,33917_1,,,-1,06:57.3,1,,,2,,,0,1,0,,0,,00:00.0,00:00.0,00:00.0,,,,,,,,21717,,,1,,,4466,1,1,,,,"20,000","11,716.70",,1,,,"426,837",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-1,06:57.3,,36457_1,,,-1,06:57.3,1,,,2,,,0,1,0,,0,,00:00.0,00:00.0,00:00.0,,,,,,,,18469,,,1,,,2464,1,1,,,,"45,000","39,063.42",,1,,,"653,837",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-1,06:57.3,,41897_1,,,-1,06:57.3,1,,,2,,,0,1,0,,0,,00:00.0,00:00.0,00:00.0,,,,,,,,10159,,,2,,,1382,1,2,,,,"24,000","15,063.40",,1,,,"714,113",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-1,06:57.3,,42240_1,,,-1,06:57.3,1,,,2,,,0,1,0,,0,,00:00.0,00:00.0,00:00.0,,,,,,,,1188,,,2,,,142,1,1,,,,"25,000","20,567.31",,1,,,"762,436",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
